# normalized_time, B2_par, B2_perp, E2_par, E2_perp, two_stream_growth, oblique_growth, filamentation_growth
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
5.511351921262150344e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.595390075764201279e-06, 2.071594494514120319e-11, 1.005317388251115940e+00, 1.027939958918830499e+00, 1.043339270946916475e+00
1.102270384252430069e-01, 6.538482685213882975e-12, 1.045441709595636085e-06, 5.636524069697827366e-06, 6.749458983728320749e-07, 1.010663051120044731e+00, 1.056660559142046818e+00, 1.088556834300043352e+00
1.653405576378645103e-01, 1.931117310028250901e-11, 4.374752288831343101e-06, 4.280672539375830174e-06, 5.583705417834596029e-06, 1.016037138953907348e+00, 1.086183611755624057e+00, 1.135734093882890594e+00
2.204540768504860138e-01, 2.585671023469776061e-11, 4.920008872450364354e-06, 3.165500148184001944e-06, 9.047091576638999216e-06, 1.021439802899278382e+00, 1.116531537246382877e+00, 1.184955981501331967e+00
2.755675960631075450e-01, 3.042365911890693100e-11, 8.766988540053172090e-06, 4.350331403504620063e-06, 9.059807436695760841e-06, 1.026871194906437079e+00, 1.147727382528625384e+00, 1.236311109843787559e+00
3.306811152757290206e-01, 3.369651155822414131e-11, 8.431143593785275458e-06, 6.505319528032516645e-06, 9.663284173954672578e-06, 1.032331467733641928e+00, 1.179794838446492022e+00, 1.289891932007990683e+00
3.857946344883504963e-01, 3.627705066315438668e-11, 1.058006807683396022e-05, 6.367495549508718111e-06, 1.010878950775287067e-05, 1.037820774951425884e+00, 1.212758257765335079e+00, 1.345794907941526564e+00
4.409081537009720275e-01, 3.822394674791954085e-11, 1.196907065553272301e-05, 5.718152546663186317e-06, 1.285940405391847197e-05, 1.043339270946916475e+00, 1.246642673665770973e+00, 1.404120678095785113e+00
4.960216729135935587e-01, 4.033297391025577840e-11, 1.214001833932912858e-05, 6.569396245819409489e-06, 1.304037215221543553e-05, 1.048887110928177435e+00, 1.281473818754453653e+00, 1.464974244605946607e+00
5.511351921262150899e-01, 4.351239057948106485e-11, 1.485880046993433901e-05, 7.581144718116996364e-06, 1.306529140023118262e-05, 1.054464450928573882e+00, 1.317278144606009782e+00, 1.528465160323178029e+00
6.062487113388365101e-01, 4.584799710172346238e-11, 1.439711430712368893e-05, 8.656216325935868123e-06, 1.374149552595007729e-05, 1.060071447811160805e+00, 1.354082841850974717e+00, 1.594707726039346518e+00
6.613622305514580413e-01, 4.880466660347730689e-11, 1.723096620387433385e-05, 8.348166777093483682e-06, 1.462894707612806367e-05, 1.065708259273095093e+00, 1.391915860824984197e+00, 1.663821196259306801e+00
7.164757497640795725e-01, 5.106046493931241405e-11, 1.718441719027117342e-05, 8.932087257359065143e-06, 1.601443309761013608e-05, 1.071375043850071096e+00, 1.430805932794902757e+00, 1.735929993891211831e+00
7.715892689767009927e-01, 5.330341901503915379e-11, 1.920741471569632823e-05, 9.833831699077926695e-06, 1.579932757447232415e-05, 1.077071960920778171e+00, 1.470782591778011072e+00, 1.811163934241342144e+00
8.267027881893225238e-01, 5.580740452265403749e-11, 2.049188383400104001e-05, 1.020189009027777000e-05, 1.688937128214565011e-05, 1.082799170711384651e+00, 1.511876196970819874e+00, 1.889658458716711120e+00
8.818163074019440550e-01, 5.823523269046198875e-11, 2.092776953173684020e-05, 1.116462441082079191e-05, 1.753269413669730694e-05, 1.088556834300043352e+00, 1.554117955804542150e+00, 1.971554878656167187e+00
9.369298266145655862e-01, 6.086725470686464332e-11, 2.338781745920428555e-05, 1.062188896317279873e-05, 1.813163249129502537e-05, 1.094345113621422172e+00, 1.597539947644737612e+00, 2.057000629728961805e+00
9.920433458271871174e-01, 6.375405293161628715e-11, 2.344076896324508164e-05, 1.234068300023875023e-05, 1.935996090746333200e-05, 1.100164171471258889e+00, 1.642175148153122155e+00, 2.146149537358763570e+00
1.047156865039808649e+00, 6.695443572464146200e-11, 2.537052424585842743e-05, 1.220300453302477500e-05, 1.882738963547506958e-05, 1.106014171510938837e+00, 1.688057454330044838e+00, 2.239162093650954422e+00
1.102270384252430180e+00, 6.915069903616788866e-11, 2.654761322301408356e-05, 1.343404205603750972e-05, 2.063192219856616448e-05, 1.111895278272098553e+00, 1.735221710256651617e+00, 2.336205746321758259e+00
1.157383903465051489e+00, 7.260820223158720799e-11, 2.709085550900747715e-05, 1.311165821603994461e-05, 2.080333021907730613e-05, 1.117807657161253854e+00, 1.783703733556285087e+00, 2.437455200149340584e+00
1.212497422677673020e+00, 7.444187260950876954e-11, 2.966975960082318651e-05, 1.384111545231168194e-05, 2.215635779857726796e-05, 1.123751474464450562e+00, 1.833540342595212147e+00, 2.543092731489583258e+00
1.267610941890294551e+00, 7.909094793772858940e-11, 2.910006846673853398e-05, 1.490788592831306233e-05, 2.207316769723521499e-05, 1.129726897351941872e+00, 1.884769384443340634e+00, 2.653308516422744123e+00
1.322724461102916083e+00, 8.177738343117731233e-11, 3.224934822732580895e-05, 1.532952539116767338e-05, 2.241958865025719028e-05, 1.135734093882890594e+00, 1.937429763616156819e+00, 2.768300973121751163e+00
1.377837980315537614e+00, 8.516760920195760489e-11, 3.178877517280316573e-05, 1.597137847788835614e-05, 2.398229508238854891e-05, 1.141773233010095145e+00, 1.991561471619711643e+00, 2.888277119058487052e+00
1.432951499528159145e+00, 8.985305202749500157e-11, 3.383159751334263878e-05, 1.589633852541031170e-05, 2.412150754537759791e-05, 1.147844484584741753e+00, 2.047205617321091964e+00, 3.013452943691142583e+00
