# normalized_time, B2_par, B2_perp, E2_par, E2_perp, two_stream_growth, oblique_growth, filamentation_growth
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
1.742842505793346930e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.888578158409974299e-06, 2.072105688537610158e-13, 1.000530470735752520e+00, 1.027939958918830499e+00, 1.046001702271161404e+00
3.485685011586693860e-01, 6.573518398416796734e-14, 1.239924220380777901e-06, 6.095845804212782161e-06, 8.013826136962494318e-07, 1.001061222870706313e+00, 1.056660559142047040e+00, 1.094119561154167419e+00
5.228527517380040512e-01, 1.921364698375852467e-13, 4.848400247888962534e-06, 4.526356526676154676e-06, 6.242166954674243638e-06, 1.001592256554135751e+00, 1.086183611755624501e+00, 1.144450923455435198e+00
6.971370023173387720e-01, 2.622643852816112486e-13, 5.862203969241135736e-06, 3.505088537116026509e-06, 9.470552194423540636e-06, 1.002123571935394031e+00, 1.116531537246383543e+00, 1.197097614100187890e+00
8.714212528966734927e-01, 3.271894403413203400e-13, 1.008843204766695262e-05, 5.017214018050231419e-06, 9.801829210887545458e-06, 1.002655169163913396e+00, 1.147727382528626272e+00, 1.252166142133542381e+00
1.045705503476008102e+00, 3.985641912593949888e-13, 9.802548178855734326e-06, 7.493633609664769215e-06, 1.027707694560234032e-05, 1.003187048389205804e+00, 1.179794838446493133e+00, 1.309767916197998483e+00
1.219989754055342823e+00, 5.038574157549505168e-13, 1.297369555881825771e-05, 6.809357877593664175e-06, 1.124063699594794512e-05, 1.003719209760862041e+00, 1.212758257765336412e+00, 1.370019469923258182e+00
1.394274004634677544e+00, 6.048102533280436280e-13, 1.362324450601665325e-05, 7.213268601476559329e-06, 1.405979953905413702e-05, 1.004251653428552826e+00, 1.246642673665772527e+00, 1.433042697684362432e+00
1.568558255214012265e+00, 7.945854030576296347e-13, 1.534953600207886735e-05, 7.516950636402900815e-06, 1.384708902077482120e-05, 1.004784379542027706e+00, 1.281473818754455207e+00, 1.498965101205100403e+00
1.742842505793346985e+00, 9.481510641839345085e-13, 1.727105050710031395e-05, 9.590779439254398927e-06, 1.484254816391974235e-05, 1.005317388251115940e+00, 1.317278144606011780e+00, 1.567920047505598768e+00
1.917126756372681706e+00, 1.246508585525623578e-12, 1.792336262879962595e-05, 9.919255343366079538e-06, 1.492838557251659761e-05, 1.005850679705726058e+00, 1.354082841850977159e+00, 1.640047038715936489e+00
2.091411006952016205e+00, 1.488657608786619093e-12, 2.105529406690697164e-05, 1.030138716553267624e-05, 1.696874583095997745e-05, 1.006384254055846750e+00, 1.391915860824986639e+00, 1.715491994301647116e+00
2.265695257531350926e+00, 1.841275255868375190e-12, 2.073897215209860879e-05, 1.109488288383161453e-05, 1.748715733083318656e-05, 1.006918111451545528e+00, 1.430805932794905644e+00, 1.794407546272072329e+00
2.439979508110685646e+00, 2.300597603812710854e-12, 2.446916627332423682e-05, 1.161211099423736746e-05, 1.814525730046512723e-05, 1.007452252042969620e+00, 1.470782591778014181e+00, 1.876953347968805419e+00
2.614263758690020367e+00, 2.622489892338139015e-12, 2.403377609387153313e-05, 1.301770075002948635e-05, 1.919117549119833476e-05, 1.007986675980346192e+00, 1.511876196970823205e+00, 1.963296397058926113e+00
2.788548009269355088e+00, 3.516960499164554323e-12, 2.712075866903305410e-05, 1.280371132158884947e-05, 1.973905448722135364e-05, 1.008521383413982120e+00, 1.554117955804545703e+00, 2.053611373386474703e+00
2.962832259848689809e+00, 3.631032292864060927e-12, 2.768263721595259769e-05, 1.408693279120976920e-05, 2.124877076635647106e-05, 1.009056374494263775e+00, 1.597539947644741609e+00, 2.148080992365670294e+00
3.137116510428024529e+00, 5.198711719596957168e-12, 2.977491243036011831e-05, 1.438778686547767218e-05, 2.145220298982217330e-05, 1.009591649371657462e+00, 1.642175148153126596e+00, 2.246896374630817039e+00
3.311400761007359250e+00, 5.106607434481633215e-12, 3.116842265867166267e-05, 1.570796940338550023e-05, 2.259428859879475171e-05, 1.010127208196709203e+00, 1.688057454330049501e+00, 2.350257432690735726e+00
3.485685011586693971e+00, 7.410568959813343426e-12, 3.247941750442684216e-05, 1.607997658531017105e-05, 2.311374676015998217e-05, 1.010663051120044953e+00, 1.735221710256656724e+00, 2.458373275369959199e+00
3.659969262166028692e+00, 7.336553330491930550e-12, 3.477318626616975912e-05, 1.644110862422179045e-05, 2.483615967312820865e-05, 1.011199178292370382e+00, 1.783703733556290860e+00, 2.571462630854907783e+00
3.834253512745363413e+00, 1.012440069666344942e-11, 3.498075175507430867e-05, 1.763710584344767491e-05, 2.515549970411946188e-05, 1.011735589864471319e+00, 1.833540342595218142e+00, 2.689754289200912751e+00
4.008537763324698133e+00, 1.062332080626026491e-11, 3.861835786830713363e-05, 1.797091900681125584e-05, 2.573304841718998157e-05, 1.012272285987213749e+00, 1.884769384443347073e+00, 2.813487565195312623e+00
4.182822013904032410e+00, 1.346518364942874280e-11, 3.775614674066770824e-05, 1.970382032329527850e-05, 2.690016339519466580e-05, 1.012809266811543152e+00, 1.937429763616163703e+00, 2.942912782513042114e+00
4.357106264483367575e+00, 1.519193513482740288e-11, 4.151810474234829683e-05, 1.887956076049584505e-05, 2.742206844039055447e-05, 1.013346532488485385e+00, 1.991561471619718970e+00, 3.078291780144202239e+00
4.531390515062701851e+00, 1.764508430321313243e-11, 4.102853267040733603e-05, 2.059429397493970075e-05, 2.897299065340327675e-05, 1.013884083169146910e+00, 2.047205617321099957e+00, 3.219898442118159565e+00
4.705674765642037016e+00, 2.117333997943694462e-11, 4.424231090304866137e-05, 2.036693315497279909e-05, 2.891627945864693353e-05, 1.014421919004713235e+00, 2.104404458167450365e+00, 3.368019251595855579e+00
4.879959016221371293e+00, 2.307619708634264840e-11, 4.415200241638367584e-05, 2.217816072883257024e-05, 3.048591718010224265e-05, 1.014960040146451137e+00, 2.163201432277253033e+00, 3.522953870451307701e+00
5.054243266800706458e+00, 2.868385088826662529e-11, 4.660640358189438551e-05, 2.203610289715402749e-05, 3.043105662931930687e-05, 1.015498446745706884e+00, 2.223641191428234798e+00, 3.685015745514844898e+00
5.228527517380040734e+00, 3.009642030861028100e-11, 4.798502649951351645e-05, 2.312197855013757190e-05, 3.219831220855588224e-05, 1.016037138953907570e+00, 2.285769634966959618e+00, 3.854532742704560810e+00
5.402811767959375899e+00, 3.798739398110638464e-11, 4.859749163271963101e-05, 2.401415227104273002e-05, 3.223868987305968467e-05, 1.016576116922560225e+00, 2.349633944665846741e+00, 4.031847810328899051e+00
5.577096018538710176e+00, 3.910897375995154343e-11, 5.201437501382336716e-05, 2.398472833184143793e-05, 3.342030948560138027e-05, 1.017115380803252478e+00, 2.415282620554100035e+00, 4.217319672902283045e+00
5.751380269118044453e+00, 4.926618050493113735e-11, 5.103475283188910612e-05, 2.557076222715727064e-05, 3.464121251076893344e-05, 1.017654930747652342e+00, 2.482765517749747186e+00, 4.411323556877445817e+00
5.925664519697379617e+00, 5.053186523367010541e-11, 5.510226263502993689e-05, 2.520170916496088375e-05, 3.481322018444681348e-05, 1.018194766907507987e+00, 2.552133884320764157e+00, 4.614251949762682159e+00
6.099948770276713894e+00, 6.261016581449373225e-11, 5.407385494597264145e-05, 2.714626710753047792e-05, 3.578800030181346201e-05, 1.018734889434648849e+00, 2.623440400204041900e+00, 4.826515394159791583e+00
6.274233020856049059e+00, 6.521382052849772150e-11, 5.807709907761658062e-05, 2.692060963781351451e-05, 3.648989167462172165e-05, 1.019275298480983860e+00, 2.696739217211743256e+00, 5.048543318329108409e+00
6.448517271435383336e+00, 7.800159041989675938e-11, 5.656590723250805623e-05, 2.795708001487811237e-05, 3.761221718357470490e-05, 1.019815994198503439e+00, 2.772086000155438601e+00, 5.280784904961944193e+00
6.622801522014718500e+00, 8.354781425972581035e-11, 6.140115895323051888e-05, 2.815948511325910231e-05, 3.809629537295872647e-05, 1.020356976739277943e+00, 2.849537969119246839e+00, 5.523709999918048119e+00
6.797085772594052777e+00, 9.567474347201755820e-11, 5.957181342859050590e-05, 2.951044063940055776e-05, 3.930837454089383405e-05, 1.020898246255458997e+00, 2.929153942914086706e+00, 5.777810062766515209e+00
6.971370023173387942e+00, 1.060670137052557830e-10, 6.359540228623065743e-05, 3.027327762453405898e-05, 3.916535138597095430e-05, 1.021439802899278382e+00, 3.010994383746036451e+00, 6.043599161053220037e+00
