# normalized_time, B2_par, B2_perp, E2_par, E2_perp, two_stream_growth, oblique_growth, filamentation_growth
1.308099766837376610e+00, 6.290883105241988259e-12, 2.038564431915796958e-05, 1.095481265409269598e-05, 1.739199595057087862e-05, 1.020898246255458774e+00, 1.430805932794902535e+00, 1.789735154824869001e+00
1.408722825824867186e+00, 6.929491410723010661e-12, 2.409737582653303790e-05, 1.139613600144782428e-05, 1.792402062737934477e-05, 1.022523778179164733e+00, 1.470782591778011072e+00, 1.871690597678027146e+00
1.509345884812357541e+00, 7.461939624737829179e-12, 2.368266275759516406e-05, 1.281023221093164681e-05, 1.904588978406453146e-05, 1.024151898366730373e+00, 1.511876196970819652e+00, 1.957398939162666940e+00
1.609968943799848118e+00, 8.612093615634858997e-12, 2.660435211344522086e-05, 1.261298049743101956e-05, 1.949897450155191792e-05, 1.025782610939335315e+00, 1.554117955804541928e+00, 2.047032031783611483e+00
1.710592002787338695e+00, 8.886213700121409428e-12, 2.733766354529752055e-05, 1.380252063657516363e-05, 2.104864836346248988e-05, 1.027415920024721929e+00, 1.597539947644737612e+00, 2.140769597505084221e+00
1.811215061774829049e+00, 1.077897937982761207e-11, 2.914862997521375544e-05, 1.424733327309406115e-05, 2.122395850201473077e-05, 1.029051829757204883e+00, 1.642175148153121933e+00, 2.238799588108511429e+00
1.911838120762319626e+00, 1.081257102572305888e-11, 3.084143892816001786e-05, 1.535764663453354574e-05, 2.232551628068141147e-05, 1.030690344277681136e+00, 1.688057454330044393e+00, 2.341318562051812879e+00
2.012461179749810203e+00, 1.333067608770344813e-11, 3.179192525899820419e-05, 1.596648338965941529e-05, 2.292014541300865799e-05, 1.032331467733641928e+00, 1.735221710256651395e+00, 2.448532078585800686e+00
2.113084238737300780e+00, 1.344288185653062045e-11, 3.440153947857860851e-05, 1.602001619963696447e-05, 2.448239371267828076e-05, 1.033975204279181437e+00, 1.783703733556284865e+00, 2.560655109917941541e+00
2.213707297724791356e+00, 1.629182754050956565e-11, 3.431795469369669369e-05, 1.745666180744149065e-05, 2.501529021197347144e-05, 1.035621558075008775e+00, 1.833540342595211925e+00, 2.677912472249890818e+00
2.314330356712281489e+00, 1.728962308145325495e-11, 3.801229500678495913e-05, 1.755634119941141237e-05, 2.530398817483458748e-05, 1.037270533288457974e+00, 1.884769384443340412e+00, 2.800539276553073442e+00
2.414953415699772066e+00, 1.984007607746547540e-11, 3.721942548011034286e-05, 1.944380617107015351e-05, 2.668283501405979872e-05, 1.038922134093498428e+00, 1.937429763616156597e+00, 2.928781399986151168e+00
2.515576474687262643e+00, 2.227547273411215312e-11, 4.066716312177321867e-05, 1.852345366160746166e-05, 2.700676925238314538e-05, 1.040576364670745546e+00, 1.991561471619711199e+00, 3.062895978899613958e+00
2.616199533674753219e+00, 2.438926267536435140e-11, 4.054177679872802677e-05, 2.021613711670968723e-05, 2.869273335598871417e-05, 1.042233229207471412e+00, 2.047205617321091520e+00, 3.203151924415998053e+00
2.716822592662243796e+00, 2.866243817677385707e-11, 4.324857071808534310e-05, 2.009298987172123918e-05, 2.851902354868928355e-05, 1.043892731897615223e+00, 2.104404458167441483e+00, 3.349830461619535349e+00
2.817445651649734373e+00, 3.009625328451061996e-11, 4.371810200687796467e-05, 2.170684797508959948e-05, 3.010057440226960419e-05, 1.045554876941793943e+00, 2.163201432277243708e+00, 3.503225693436330612e+00
2.918068710637224505e+00, 3.615753954263151790e-11, 4.553348777998732634e-05, 2.187881801988033478e-05, 3.011729808868041086e-05, 1.047219668547313187e+00, 2.223641191428225028e+00, 3.663645190335708346e+00
3.018691769624715082e+00, 3.754186746058906618e-11, 4.751480356138392956e-05, 2.253524226900388000e-05, 3.169205325711592190e-05, 1.048887110928177435e+00, 2.285769634966948516e+00, 3.831410607035134142e+00
3.119314828612205659e+00, 4.552168178807046238e-11, 4.762562263291774339e-05, 2.380271677156041980e-05, 3.203249664780998939e-05, 1.050557208305101353e+00, 2.349633944665835195e+00, 4.006858327445240953e+00
