# normalized_time, B2_par, B2_perp, E2_par, E2_perp, two_stream_growth, oblique_growth, filamentation_growth
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
1.006230589874905074e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.307888022099342321e-09, 4.245655472091549353e-14, 1.001592256554135751e+00, 1.027939958918830499e+00, 1.045791938897896678e+00
2.012461179749810147e-01, 2.245931784672777604e-15, 3.736166189634238226e-10, 8.681737089124019360e-09, 6.548157884682922436e-11, 1.003187048389205804e+00, 1.056660559142046818e+00, 1.093680779463822139e+00
3.018691769624715082e-01, 1.627290246304081678e-14, 2.085171644273161704e-09, 2.343467941826183326e-08, 7.103308043062694023e-10, 1.004784379542027706e+00, 1.086183611755623835e+00, 1.143762542890833345e+00
4.024922359499620295e-01, 4.774290350301664016e-14, 8.194448709610458533e-09, 5.929927916795394787e-08, 3.645494277345197357e-09, 1.006384254055846750e+00, 1.116531537246382877e+00, 1.196137647368593404e+00
5.031152949374525507e-01, 9.026538901140441088e-14, 2.241272585434278065e-08, 7.300190213249398815e-08, 1.268778972710658624e-08, 1.007986675980346192e+00, 1.147727382528625384e+00, 1.250911109430369761e+00
6.037383539249430164e-01, 1.319518130314845405e-13, 3.889270592024991093e-08, 1.001102622563101435e-07, 2.991034560025900561e-08, 1.009591649371657462e+00, 1.179794838446492022e+00, 1.308192754520105527e+00
7.043614129124335932e-01, 1.664125275707370031e-13, 5.541932290964751353e-08, 1.037661604072951597e-07, 5.396382940432275445e-08, 1.011199178292370160e+00, 1.212758257765335079e+00, 1.368097437201761357e+00
8.049844718999240589e-01, 1.956987660932182636e-13, 6.586320732268526994e-08, 1.071169766398145402e-07, 8.035013277799118972e-08, 1.012809266811542930e+00, 1.246642673665770973e+00, 1.430745271452473322e+00
9.056075308874145247e-01, 2.253069168631816000e-13, 7.326932510533056551e-08, 1.084067409950090695e-07, 1.036803375529293214e-07, 1.014421919004713235e+00, 1.281473818754453431e+00, 1.496261871501279650e+00
1.006230589874905101e+00, 2.583511666569080375e-13, 7.851066214752464354e-08, 1.032457280682141866e-07, 1.219034786653323793e-07, 1.016037138953907348e+00, 1.317278144606009560e+00, 1.564778603696318715e+00
1.106853648862395678e+00, 2.938404017109314798e-13, 8.315554848836667443e-08, 1.043336935644474808e-07, 1.342103754926881148e-07, 1.017654930747652120e+00, 1.354082841850974717e+00, 1.636432849905516518e+00
1.207476707849886033e+00, 3.284115738308680634e-13, 8.906559228375728198e-08, 1.003951736722115795e-07, 1.421634848831583558e-07, 1.019275298480983860e+00, 1.391915860824984197e+00, 1.711368282978900757e+00
1.308099766837376610e+00, 3.590493490340415616e-13, 9.273529292590981006e-08, 1.014882103377599424e-07, 1.478332825035310852e-07, 1.020898246255458774e+00, 1.430805932794902535e+00, 1.789735154824869001e+00
1.408722825824867186e+00, 3.847975981341534856e-13, 9.739631383739431245e-08, 9.983952631209723079e-08, 1.526857775229273373e-07, 1.022523778179164733e+00, 1.470782591778011072e+00, 1.871690597678027146e+00
1.509345884812357541e+00, 4.070129462482905612e-13, 9.870579006055047098e-08, 1.002165424964480713e-07, 1.577344858776239794e-07, 1.024151898366730373e+00, 1.511876196970819652e+00, 1.957398939162666940e+00
1.609968943799848118e+00, 4.282165065055202711e-13, 1.021358046585220186e-07, 9.854270783433242301e-08, 1.625803853725463563e-07, 1.025782610939335315e+00, 1.554117955804541928e+00, 2.047032031783611483e+00
1.710592002787338695e+00, 4.500857477601963184e-13, 1.040026854929799686e-07, 9.693696653214668770e-08, 1.679029944047029416e-07, 1.027415920024721929e+00, 1.597539947644737612e+00, 2.140769597505084221e+00
1.811215061774829049e+00, 4.720453027466453541e-13, 1.078415181943081461e-07, 9.535513885267587432e-08, 1.734775614661065697e-07, 1.029051829757204883e+00, 1.642175148153121933e+00, 2.238799588108511429e+00
1.911838120762319626e+00, 4.920696571588894832e-13, 1.103979727395368409e-07, 9.187985793825976906e-08, 1.800411955711133774e-07, 1.030690344277681136e+00, 1.688057454330044393e+00, 2.341318562051812879e+00
2.012461179749810203e+00, 5.089729444391584633e-13, 1.125257145404394783e-07, 9.130554486347652760e-08, 1.864701897505468672e-07, 1.032331467733641928e+00, 1.735221710256651395e+00, 2.448532078585800686e+00
2.113084238737300780e+00, 5.240419300502967615e-13, 1.152612863724335783e-07, 8.853490300257713466e-08, 1.922713016939393339e-07, 1.033975204279181437e+00, 1.783703733556284865e+00, 2.560655109917941541e+00
