# normalized_time, B2_par, B2_perp, E2_par, E2_perp, two_stream_growth, oblique_growth, filamentation_growth
1.047156865039808649e+00, 5.836133293165105129e-12, 8.899128468274099797e-08, 8.979836292638529404e-08, 1.661553171576674073e-07, 1.106014171510938837e+00, 1.688057454330044838e+00, 2.239162093650954422e+00
1.102270384252430180e+00, 6.084401691746233092e-12, 9.044516935039949561e-08, 8.636232930179215307e-08, 1.716379516092501251e-07, 1.111895278272098553e+00, 1.735221710256651617e+00, 2.336205746321758259e+00
1.157383903465051489e+00, 6.309222527932658894e-12, 9.170555891523071856e-08, 8.640040652056757293e-08, 1.765120910201595679e-07, 1.117807657161253854e+00, 1.783703733556285087e+00, 2.437455200149340584e+00
1.212497422677673020e+00, 6.524765551855038282e-12, 9.404075622896182318e-08, 8.425608003914517361e-08, 1.805847837448456012e-07, 1.123751474464450562e+00, 1.833540342595212147e+00, 2.543092731489583258e+00
1.267610941890294551e+00, 6.742449778639375464e-12, 9.506340145874763885e-08, 8.476567826505690100e-08, 1.834711029870693459e-07, 1.129726897351941872e+00, 1.884769384443340634e+00, 2.653308516422744123e+00
1.322724461102916083e+00, 6.962200074000442302e-12, 9.866045084232713912e-08, 8.382667013241198294e-08, 1.852160109542771839e-07, 1.135734093882890594e+00, 1.937429763616156819e+00, 2.768300973121751163e+00
1.377837980315537614e+00, 7.172443514838589931e-12, 1.006311061135988810e-07, 8.457118539232054744e-08, 1.865493093175747221e-07, 1.141773233010095145e+00, 1.991561471619711643e+00, 2.888277119058487052e+00
1.432951499528159145e+00, 7.360099149483697151e-12, 1.043719641180763448e-07, 8.466790731669846651e-08, 1.876719216786012324e-07, 1.147844484584741753e+00, 2.047205617321091964e+00, 3.013452943691142583e+00
1.488065018740780676e+00, 7.520888770999742012e-12, 1.066583574431567714e-07, 8.418665128363750828e-08, 1.898995181836710991e-07, 1.153948019361180632e+00, 2.104404458167441927e+00, 3.144053797303556053e+00
1.543178537953401985e+00, 7.662378721270056808e-12, 1.074395271391820379e-07, 8.558661802101724457e-08, 1.930680231142381121e-07, 1.160084009001730365e+00, 2.163201432277243708e+00, 3.280314796696576440e+00
1.598292057166023517e+00, 7.797147857365661796e-12, 1.086332604595461790e-07, 8.416864975302523526e-08, 1.968449686811422623e-07, 1.166252626081503374e+00, 2.223641191428225028e+00, 3.422481248461789693e+00
1.653405576378645048e+00, 7.931716828499303811e-12, 1.078749698508169328e-07, 8.428667682163116527e-08, 2.000182830161901934e-07, 1.172454044093262260e+00, 2.285769634966948960e+00, 3.570809090599615931e+00
1.708519095591266579e+00, 8.060346277610263290e-12, 1.105117431895796168e-07, 8.314964005656360736e-08, 2.018855645179209082e-07, 1.178688437452297011e+00, 2.349633944665835639e+00, 3.725565353276825586e+00
1.763632614803888110e+00, 8.169694796168650502e-12, 1.120806963994795632e-07, 8.179532255242690983e-08, 2.034040972192044710e-07, 1.184955981501331967e+00, 2.415282620554088489e+00, 3.887028639552934539e+00
1.818746134016509641e+00, 8.251027383116520668e-12, 1.151774692105004394e-07, 8.152666493659296825e-08, 2.049277221455767910e-07, 1.191256852515456544e+00, 2.482765517749734752e+00, 4.055489626940943282e+00
1.873859653229131172e+00, 8.306401103754729569e-12, 1.170970189742785036e-07, 7.995724705016535612e-08, 2.073663603140217564e-07, 1.197591227707083483e+00, 2.552133884320751278e+00, 4.231251590705346288e+00
1.928973172441752704e+00, 8.342760088732393631e-12, 1.173220052367043513e-07, 7.984219891509233386e-08, 2.098503736621798049e-07, 1.203959285230932652e+00, 2.623440400204028133e+00, 4.414630949839496665e+00
1.984086691654374235e+00, 8.366756871318040166e-12, 1.189693892389370819e-07, 7.872861096182840216e-08, 2.120015222242884560e-07, 1.210361204189041473e+00, 2.696739217211729045e+00, 4.605957836705234953e+00
2.039200210866995544e+00, 8.388661635976147175e-12, 1.182650911520288150e-07, 7.897342785083992587e-08, 2.135252108005802264e-07, 1.216797164635802675e+00, 2.772086000155423058e+00, 4.805576691360276875e+00
2.094313730079617297e+00, 8.427439265693151287e-12, 1.200686558956899415e-07, 7.937365923848826768e-08, 2.144983562789215045e-07, 1.223267347583028242e+00, 2.849537969119231295e+00, 5.013846881643326370e+00
