# normalized_time, B2_par, B2_perp, E2_par, E2_perp, two_stream_growth, oblique_growth, filamentation_growth
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
1.742842505793346930e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.336047711455108933e-09, 4.821823610904380973e-15, 1.000530470735752520e+00, 1.027939958918830499e+00, 1.046001702271161404e+00
3.485685011586693860e-01, 2.503504362130302169e-16, 3.770176467335549911e-10, 8.749050342320215107e-09, 6.598718168255089126e-11, 1.001061222870706313e+00, 1.056660559142047040e+00, 1.094119561154167419e+00
5.228527517380040512e-01, 1.820325455689507196e-15, 2.105628494717819651e-09, 2.388379534282653167e-08, 7.164913920518925049e-10, 1.001592256554135751e+00, 1.086183611755624501e+00, 1.144450923455435198e+00
6.971370023173387720e-01, 5.365026165722581040e-15, 8.328386089938247014e-09, 6.000437427276152910e-08, 3.692900408383726206e-09, 1.002123571935394031e+00, 1.116531537246383543e+00, 1.197097614100187890e+00
8.714212528966734927e-01, 1.020741779655079810e-14, 2.274351033315182676e-08, 7.376513086386265235e-08, 1.285782658580610450e-08, 1.002655169163913396e+00, 1.147727382528626272e+00, 1.252166142133542381e+00
1.045705503476008102e+00, 1.503520733830166422e-14, 3.943318592500786475e-08, 1.011817512662900946e-07, 3.027288596911271781e-08, 1.003187048389205804e+00, 1.179794838446493133e+00, 1.309767916197998483e+00
1.219989754055342823e+00, 1.912046041184440315e-14, 5.616435130525817574e-08, 1.040222969090858978e-07, 5.456171820046770312e-08, 1.003719209760862041e+00, 1.212758257765336412e+00, 1.370019469923258182e+00
1.394274004634677544e+00, 2.264121835143796902e-14, 6.666087692835085378e-08, 1.078201930207768652e-07, 8.111830803958327014e-08, 1.004251653428552826e+00, 1.246642673665772527e+00, 1.433042697684362432e+00
1.568558255214012265e+00, 2.611077772666013240e-14, 7.423866147748314801e-08, 1.083928293874056310e-07, 1.045381531814891491e-07, 1.004784379542027706e+00, 1.281473818754455207e+00, 1.498965101205100403e+00
1.742842505793346985e+00, 2.973189198044378166e-14, 7.945231842300815241e-08, 1.035603663246958791e-07, 1.227974352145869835e-07, 1.005317388251115940e+00, 1.317278144606011780e+00, 1.567920047505598768e+00
1.917126756372681706e+00, 3.328641104951064460e-14, 8.434387780609791740e-08, 1.044998462983374315e-07, 1.350620796374647578e-07, 1.005850679705726058e+00, 1.354082841850977159e+00, 1.640047038715936489e+00
2.091411006952016205e+00, 3.642543507526216195e-14, 9.027974778637599858e-08, 1.005705293366824210e-07, 1.430152059570621727e-07, 1.006384254055846750e+00, 1.391915860824986639e+00, 1.715491994301647116e+00
2.265695257531350926e+00, 3.902004968212151630e-14, 9.419352003789182909e-08, 1.018469547402159423e-07, 1.486696160009345723e-07, 1.006918111451545528e+00, 1.430805932794905644e+00, 1.794407546272072329e+00
2.439979508110685646e+00, 4.121968933515192197e-14, 9.893917917063973465e-08, 1.000164653864087077e-07, 1.535873331165633019e-07, 1.007452252042969620e+00, 1.470782591778014181e+00, 1.876953347968805419e+00
2.614263758690020367e+00, 4.327056057291805949e-14, 1.003513400949740843e-07, 1.007823441062100693e-07, 1.586800516762866050e-07, 1.007986675980346192e+00, 1.511876196970823205e+00, 1.963296397058926113e+00
