# normalized_time, B2_par, B2_perp, E2_par, E2_perp, two_stream_growth, oblique_growth, filamentation_growth
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
3.181980515339507543e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.891375406373798549e-06, 1.871605604787459394e-14, 1.000159111682688229e+00, 1.027939958918830721e+00, 1.046025506289838702e+00
6.363961030679015085e-01, 5.921212202288657681e-15, 1.241781860208845254e-06, 6.099639120343914476e-06, 8.025931306725547620e-07, 1.000318248681903999e+00, 1.056660559142047484e+00, 1.094169359808913278e+00
9.545941546018522628e-01, 1.737979729599279428e-14, 4.852593887668027234e-06, 4.528950461222081812e-06, 6.247944244501047852e-06, 1.000477411001675421e+00, 1.086183611755625167e+00, 1.144529058560947332e+00
1.272792206135803017e+00, 2.508028496099187077e-14, 5.871277788103708503e-06, 3.508287861171592199e-06, 9.474168023123485130e-06, 1.000636598646031494e+00, 1.116531537246384653e+00, 1.197206587944647183e+00
1.590990257669753660e+00, 4.144535800073086918e-14, 1.010002134970675848e-05, 5.024365231446272328e-06, 9.808592129303483567e-06, 1.000795811619001441e+00, 1.147727382528627604e+00, 1.252308627288329923e+00
1.909188309203704526e+00, 7.437952980417694626e-14, 9.816494012770245002e-06, 7.503003873484119099e-06, 1.028229145019863676e-05, 1.000955049924615370e+00, 1.179794838446494687e+00, 1.309946765890408260e+00
2.227386360737655391e+00, 1.478306854117472836e-13, 1.299571732983070936e-05, 6.815138551656652085e-06, 1.125169309459687694e-05, 1.001114313566904279e+00, 1.212758257765338410e+00, 1.370237729003251026e+00
2.545584412271606034e+00, 2.286194868542609260e-13, 1.364003668659673656e-05, 7.228120836596882171e-06, 1.406940753904952502e-05, 1.001273602549899167e+00, 1.246642673665774748e+00, 1.433303614218064403e+00
2.863782463805556677e+00, 3.937977275215748222e-13, 1.538132886758413278e-05, 7.524623925534403456e-06, 1.385646409011587600e-05, 1.001432916877632140e+00, 1.281473818754457872e+00, 1.499272138729506487e+00
3.181980515339507321e+00, 5.173292330141187002e-13, 1.729010367596242313e-05, 9.611651400334451502e-06, 1.485725313739523465e-05, 1.001592256554135751e+00, 1.317278144606014667e+00, 1.568276897980781071e+00
