# normalized_time, B2_par, B2_perp, E2_par, E2_perp, two_stream_growth, oblique_growth, filamentation_growth
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
3.181980515339507543e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.339302506974785486e-09, 4.331189938903037527e-16, 1.000159111682688229e+00, 1.027939958918830721e+00, 1.046025506289838702e+00
6.363961030679015085e-01, 2.270781474372867633e-17, 3.774087345042703410e-10, 8.756765708967203652e-09, 6.604947737745831645e-11, 1.000318248681903999e+00, 1.056660559142047484e+00, 1.094169359808913278e+00
9.545941546018522628e-01, 1.650420931907839821e-16, 2.107989665333277204e-09, 2.393578617368534132e-08, 7.172127719775956790e-10, 1.000477411001675421e+00, 1.086183611755625167e+00, 1.144529058560947332e+00
1.272792206135803017e+00, 4.858092913412309048e-16, 8.343832280135239011e-09, 6.008491929602046132e-08, 3.698409287118427199e-09, 1.000636598646031494e+00, 1.116531537246384653e+00, 1.197206587944647183e+00
1.590990257669753660e+00, 9.213260686636402829e-16, 2.278144334888609098e-08, 7.385334988321459657e-08, 1.287747674304554918e-08, 1.000795811619001441e+00, 1.147727382528627604e+00, 1.252308627288329923e+00
1.909188309203704526e+00, 1.349445859386202933e-15, 3.949500904327042352e-08, 1.013030330165493872e-07, 3.031466176451091947e-08, 1.000955049924615370e+00, 1.179794838446494687e+00, 1.309946765890408260e+00
2.227386360737655391e+00, 1.700284548731813857e-15, 5.624898388932257013e-08, 1.040527264963905669e-07, 5.463037764066775389e-08, 1.001114313566904279e+00, 1.212758257765338410e+00, 1.370237729003251026e+00
2.545584412271606034e+00, 1.988247171113859007e-15, 6.675148237036826780e-08, 1.078998444963488894e-07, 8.120593562614505366e-08, 1.001273602549899167e+00, 1.246642673665774748e+00, 1.433303614218064403e+00
2.863782463805556677e+00, 2.266810959987786927e-15, 7.434915467726049486e-08, 1.083922260361961213e-07, 1.046353606798291654e-07, 1.001432916877632140e+00, 1.281473818754457872e+00, 1.499272138729506487e+00
3.181980515339507321e+00, 2.572962630472433239e-15, 7.956122397111839876e-08, 1.035949152572612487e-07, 1.228975682273001674e-07, 1.001592256554135751e+00, 1.317278144606014667e+00, 1.568276897980781071e+00
